Car Title,Car Price,Car Location,Car Year,Car Km,Car Fuel,Car CC,Car Transmission
Honda Civic  2016 VTi Oriel Prosmatec 1.8 i-VTEC for Sale,PKR 39.2 lacs,Karachi,2016,"96,300 km",Petrol,1800 cc,Automatic
Toyota Corolla  2012 GLi 1.3 VVTi for Sale,PKR 24.5 lacs,Karachi,2012,"115,000 km",Petrol,1300 cc,Manual
Daihatsu Mira  2023 L SA III for Sale,PKR 42 lacs,Karachi,2023,"5,000 km",Petrol,660 cc,Automatic
Toyota Aqua  2013 S for Sale,PKR 33.7 lacs,Karachi,2013,"77,000 km",Petrol,1500 cc,Automatic
Suzuki Cultus  2017 VXR for Sale,PKR 23 lacs,Karachi,2017,"90,000 km",Petrol,1000 cc,Manual
Toyota Hilux  2020 Revo V Automatic 2.8 for Sale,PKR 1.09 crore,Karachi,2020,"88,000 km",Diesel,2800 cc,Automatic
Honda City 5th (GM2) Generation 2021 Aspire Prosmatec 1.5 i-VTEC for Sale,PKR 46 lacs,Karachi,2021,"15,700 km",Petrol,1500 cc,Automatic
Ford F 150 Shelby  2018 Supercharged for Sale,PKR 3.65 crore,Karachi,2018,"26,000 km",Petrol,5000 cc,Automatic
Toyota Hilux  2018 Revo V Automatic 2.8 for Sale,PKR 96 lacs,Karachi,2018,"94,000 km",Diesel,2800 cc,Automatic
Daihatsu Copen  2022 Robe S for Sale,PKR 55 lacs,Karachi,2022,"18,000 km",Petrol,660 cc,Automatic
Daihatsu Mira  2014 L for Sale,PKR 20.5 lacs,Karachi,2014,"98,970 km",Petrol,660 cc,Automatic
Toyota Land Cruiser  2015 AX for Sale,PKR 3.26 crore,Karachi,2015,"68,000 km",Petrol,4600 cc,Automatic
Toyota IST  2006  for Sale,PKR 17.75 lacs,Karachi,2006,"108,000 km",Petrol,1300 cc,Automatic
KIA Picanto  2021 1.0 AT for Sale,PKR 28.5 lacs,Karachi,2021,"65,957 km",Petrol,1000 cc,Automatic
Suzuki Swift  2017 DLX Automatic 1.3 Navigation for Sale,PKR 27.5 lacs,Karachi,2017,"81,000 km",Petrol,1300 cc,Automatic
Suzuki Cultus  2007 VXR for Sale,PKR 8.5 lacs,Karachi,2007,"97,868 km",Petrol,1000 cc,Manual
Suzuki Mehran  2007 VX (CNG) for Sale,PKR 6.5 lacs,Karachi,2007,"19,500 km",Petrol,800 cc,Manual
Toyota Raize  2020 Z for Sale,PKR 64.5 lacs,Karachi,2020,"11,800 km",Petrol,1000 cc,Automatic
Toyota Corolla  2021 Altis X Automatic 1.6 for Sale,PKR 55.5 lacs,Karachi,2021,"16,800 km",Petrol,1598 cc,Automatic
Toyota Corolla Touring  2020 Hybrid WxB for Sale,PKR 88 lacs,Karachi,2020,"60,000 km",Hybrid,1800 cc,Automatic
Toyota Prius  2021 S Safety Plus II for Sale,PKR 96 lacs,Karachi,2021,"69,000 km",Hybrid,1800 cc,Automatic
Suzuki Alto  2014 ECO-S for Sale,PKR 21.85 lacs,Karachi,2014,"71,000 km",Petrol,660 cc,Automatic
Honda City  2022 1.5L ASPIRE CVT for Sale,PKR 47.9 lacs,Karachi,2022,"21,265 km",Petrol,1500 cc,Automatic
Honda City 5th (GM2) Generation 2015 1.3 i-VTEC for Sale,PKR 25 lacs,Karachi,2015,"150,000 km",Petrol,1300 cc,Manual
Toyota Corolla  2016 GLi Automatic 1.3 VVTi for Sale,PKR 35.6 lacs,Karachi,2016,"86,000 km",Petrol,1300 cc,Automatic
Toyota Aqua  2017 S for Sale,PKR 46.75 lacs,Karachi,2017,"130,000 km",Hybrid,1500 cc,Automatic
Nissan Dayz  2017 Bolero S for Sale,PKR 21.4 lacs,Karachi,2017,"64,000 km",Petrol,660 cc,Automatic
Honda Civic Rebirth 2016 VTi Oriel Prosmatec 1.8 i-VTEC for Sale,PKR 40 lacs,Karachi,2016,"90,000 km",Petrol,1800 cc,Automatic
Toyota Land Cruiser  2018 ZX for Sale,PKR 4.3 crore,Karachi,2018,"29,000 km",Petrol,4600 cc,Automatic
Toyota Corolla  2021 Altis Grande X CVT-i 1.8 Beige Interior for Sale,PKR 62.8 lacs,Karachi,2021,"33,000 km",Petrol,1800 cc,Automatic
Daihatsu Rocky  2021 Premium for Sale,PKR 54 lacs,Karachi,2021,"117,800 km",Petrol,1000 cc,Automatic
Prince Pearl  2021  for Sale,PKR 12 lacs,Karachi,2021,"23,000 km",Petrol,800 cc,Manual
Nissan Wingroad  2007 15M for Sale,PKR 22 lacs,Karachi,2007,"130,000 km",Petrol,1500 cc,Automatic
Mitsubishi Ek Wagon  2022 M for Sale,PKR 33.4 lacs,Karachi,2022,"16,722 km",Petrol,660 cc,Automatic
Mazda Carol  2014 GS4 for Sale,PKR 18.9 lacs,Karachi,2014,"93,000 km",Petrol,660 cc,Automatic
Suzuki Mehran  2010 VX (CNG) for Sale,PKR 7.9 lacs,Karachi,2010,"92,000 km",Petrol,800 cc,Manual
Toyota Platz  2003 F 1.0 for Sale,PKR 15.75 lacs,Karachi,2003,"155,000 km",Petrol,1000 cc,Automatic
Honda City  2017 1.3 i-VTEC Prosmatec for Sale,PKR 33.5 lacs,Karachi,2017,"84,000 km",Petrol,1300 cc,Automatic
Daihatsu Move  2020 L SA 3 for Sale,PKR 30.5 lacs,Karachi,2020,"40,641 km",Petrol,658 cc,Automatic
Suzuki Cultus  2007 VXR for Sale,PKR 7.8 lacs,Karachi,2007,"52,525 km",Petrol,1000 cc,Manual
Nissan Leaf  2021 EV for Sale,PKR 76 lacs,Karachi,2021,"18,000 km",Electric,40.0 kWh,Automatic
Honda City 5th (GM2) Generation 2016 1.3 i-VTEC for Sale,PKR 33.5 lacs,Karachi,2016,"119,300 km",Petrol,1300 cc,Manual
Toyota Corolla Fielder  2014 Hybrid for Sale,PKR 41 lacs,Karachi,2014,"239,976 km",Hybrid,1500 cc,Automatic
Honda City 5th (GM2) Generation 2019 1.3 i-VTEC Prosmatec for Sale,PKR 37.5 lacs,Karachi,2019,"41,000 km",Petrol,1300 cc,Automatic
Honda Civic 11th Generation 2022 Oriel for Sale,PKR 73.5 lacs,Karachi,2022,"50,000 km",Petrol,1500 cc,Automatic
BMW iX  2024 xDrive40 for Sale,PKR 4.4 crore,Karachi,2024,"1,363 km",Electric,71.0 kWh,Automatic
Suzuki Wagon R  2022 Hybrid ZX for Sale,PKR 43.5 lacs,Karachi,2022,"9,700 km",Hybrid,660 cc,Automatic
Toyota Aqua  2018  for Sale,PKR 52 lacs,Karachi,2018,"143,000 km",Hybrid,1500 cc,Automatic
Daihatsu Mira  2022 X SA lll for Sale,PKR 38.5 lacs,Karachi,2022,"9,700 km",Petrol,660 cc,Automatic
Honda BR-V  2017 i-VTEC S for Sale,PKR 39 lacs,Karachi,2017,"99,000 km",Petrol,1500 cc,Automatic
Suzuki Wagon R  2022 Hybrid FX for Sale,PKR 39.5 lacs,Karachi,2022,"6,400 km",Hybrid,660 cc,Automatic
Toyota Raize  2021 Z for Sale,PKR 66 lacs,Karachi,2021,"32,000 km",Petrol,1000 cc,Automatic
Daihatsu Mira  2021 LSA 3 for Sale,PKR 35.5 lacs,Karachi,2021,"15,000 km",Petrol,660 cc,Automatic
Toyota Raize  2020 Z for Sale,PKR 57 lacs,Karachi,2020,"82,000 km",Petrol,1000 cc,Automatic
Toyota Prado  2012 TZ 4.0 for Sale,PKR 1.8 crore,Karachi,2012,"214,000 km",Petrol,4000 cc,Automatic
Toyota Corolla  2023 Altis Grande X CVT-i 1.8 Black Interior for Sale,PKR 68.75 lacs,Karachi,2023,"23,000 km",Petrol,1800 cc,Automatic
Daihatsu Mira  2013 X Memorial Edition for Sale,PKR 21.5 lacs,Karachi,2013,"75,000 km",Petrol,660 cc,Automatic
Suzuki Alto  2021 VXR for Sale,PKR 23.5 lacs,Karachi,2021,"150,910 km",Petrol,660 cc,Manual
Mitsubishi Mirage  2014 1.0 G for Sale,PKR 22 lacs,Karachi,2014,"120,000 km",Petrol,1000 cc,Automatic
Nissan Note  2020 MEDALIST for Sale,PKR 49 lacs,Karachi,2020,"71,818 km",Hybrid,1198 cc,Automatic
Honda Civic  2021 Oriel 1.8 i-VTEC CVT for Sale,PKR 55.75 lacs,Karachi,2021,"48,000 km",Petrol,1800 cc,Automatic
Toyota Prado  2005 TZ 3.4 for Sale,PKR 80 lacs,Karachi,2005,"165,265 km",Petrol,3400 cc,Automatic
Suzuki Baleno  1999 GLi for Sale,PKR 6.5 lacs,Karachi,1999,"100,000 km",Petrol,1300 cc,Manual
Suzuki Alto  2011 VXR for Sale,PKR 10.8 lacs,Karachi,2011,"88,000 km",Petrol,1000 cc,Manual
Suzuki Cultus  2014  for Sale,PKR 14.5 lacs,Karachi,2014,"56,800 km",Petrol,1000 cc,Manual
Nissan Clipper  2005  for Sale,PKR 10.95 lacs,Karachi,2005,"170,000 km",Petrol,660 cc,Automatic
MG HS  2022 Trophy for Sale,PKR 65 lacs,Karachi,2022,"36,000 km",Petrol,1500 cc,Automatic
Nissan Note  2020 e-Power X V Selection for Sale,PKR 51.5 lacs,Karachi,2020,"95,500 km",Hybrid,1200 cc,Automatic
Toyota Corolla  2014 GLi 1.3 VVTi for Sale,PKR 30.5 lacs,Karachi,2014,"122,241 km",Petrol,1300 cc,Manual
Toyota Raize  2021 Z for Sale,PKR 64.5 lacs,Karachi,2021,"19,000 km",Petrol,1000 cc,Automatic
Daihatsu Mira  2014  for Sale,PKR 23.8 lacs,Karachi,2014,"84,000 km",Petrol,660 cc,Automatic
Toyota Corolla  2019 Altis Automatic 1.6 for Sale,PKR 54 lacs,Karachi,2019,"71,700 km",Petrol,1600 cc,Automatic
Toyota Roomy  2021 XS for Sale,PKR 33.25 lacs,Karachi,2021,"32,000 km",Petrol,996 cc,Automatic
Nissan Note  2021 e-Power X for Sale,PKR 66 lacs,Karachi,2021,"63,100 km",Hybrid,1200 cc,Automatic
Toyota Fortuner  2022 Legender  for Sale,PKR 1.72 crore,Karachi,2022,"42,000 km",Diesel,2800 cc,Automatic
Honda Civic 7th Generation (Facelift) 2005 EXi for Sale,PKR 14.5 lacs,Karachi,2005,"313,657 km",Petrol,1500 cc,Manual
Honda Civic Reborn 2009 VTi Prosmatec 1.8 i-VTEC for Sale,PKR 21.6 lacs,Karachi,2009,"79,000 km",Petrol,1800 cc,Automatic
Toyota Corolla  2011 XLi VVTi for Sale,PKR 24 lacs,Karachi,2011,"98,000 km",Petrol,1300 cc,Manual
Toyota Prado  2017 TX L Package 2.7 for Sale,PKR 2.25 crore,Karachi,2017,"87,000 km",Petrol,2700 cc,Automatic
